         2324420 function calls (2171995 primitive calls) in 1.523 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2028    0.001    0.000    0.013    0.000 re.py:185(sub)
5487/2078    0.001    0.000    0.003    0.000 bases.py:424(<genexpr>)
  788/786    0.001    0.000    0.005    0.000 either.py:111(validate)
     3602    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     4739    0.001    0.000    0.002    0.000 sre_parse.py:172(append)
      434    0.001    0.000    0.007    0.000 __init__.py:9(__new__)
     4299    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      317    0.001    0.000    0.035    0.000 overrides.py:154(decorator)
        2    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
    11310    0.001    0.000    0.001    0.000 inspect.py:2529(kind)
     1357    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
     1688    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       60    0.001    0.000    0.002    0.000 function_base.py:37(linspace)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
     2344    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      920    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      730    0.001    0.000    0.055    0.000 check.py:579(_make_dec)
      408    0.001    0.000    0.021    0.000 artist.py:1241(get_valid_values)
     1398    0.001    0.000    0.001    0.000 descriptors.py:444(__init__)
     7411    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1460    0.001    0.000    0.003    0.000 base.py:64(__set__)
    11266    0.001    0.000    0.001    0.000 inspect.py:2517(name)
       64    0.001    0.000    0.008    0.000 colors.py:729(from_list)
     2746    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     1090    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
      368    0.001    0.000    0.057    0.000 sre_parse.py:919(parse)
     1045    0.001    0.000    0.006    0.000 colors.py:149(to_rgba)
     1437    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
     3745    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
      362    0.001    0.000    0.002    0.000 enum.py:836(__and__)
1286/1280    0.001    0.000    0.003    0.000 bases.py:292(is_valid)
      657    0.001    0.000    0.002    0.000 font_manager.py:883(_json_decode)
      112    0.001    0.000    0.040    0.000 _distn_infrastructure.py:702(_construct_doc)
     3776    0.001    0.000    0.001    0.000 {built-in method from_bytes}
  904/250    0.001    0.000    0.005    0.000 visitor.py:41(generic_visit)
     1364    0.001    0.000    0.001    0.000 check.py:232(__init__)
     1465    0.001    0.000    0.001    0.000 decorator.py:170(<listcomp>)
     3497    0.001    0.000    0.001    0.000 base.py:23(__set__)
      292    0.001    0.000    0.002    0.000 version.py:131(_legacy_cmpkey)
     1357    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
  532/149    0.001    0.000    0.022    0.000 expressions.py:423(_uncached_match)
     6454    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
       80    0.001    0.000    0.008    0.000 helpers.py:686(_get_argspecs)
     3854    0.001    0.000    0.004    0.000 has_props.py:448(properties)
      564    0.001    0.000    0.001    0.000 {built-in method numpy.array}
    673/2    0.001    0.000    1.510    0.755 {built-in method builtins.__import__}
     1343    0.001    0.000    0.001    0.000 has_props.py:214(accumulate_dict_from_superclasses)
      166    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     1797    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
   2027/5    0.001    0.000    1.523    0.305 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6265    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1172    0.001    0.000    0.010    0.000 {built-in method builtins.sorted}
     1516    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      617    0.001    0.000    0.001    0.000 base.py:140(__set__)
     6032    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      676    0.001    0.000    0.008    0.000 lexer.py:558(wrap)
      336    0.001    0.000    0.002    0.000 inspect.py:1799(_signature_bound_method)
      292    0.001    0.000    0.001    0.000 version.py:343(_cmpkey)
     2812    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       12    0.001    0.000    0.015    0.001 artist.py:1213(get_aliases)
      618    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
     1568    0.001    0.000    0.001    0.000 __init__.py:2069(dist_factory)
     5790    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      376    0.001    0.000    0.001    0.000 nodes.py:127(__init__)
      805    0.001    0.000    0.001    0.000 compiler.py:382(write)
  829/673    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      454    0.001    0.000    0.001    0.000 function_base.py:2031(__init__)
     3663    0.001    0.000    0.001    0.000 decorator.py:215(<genexpr>)
      438    0.001    0.000    0.001    0.000 posixpath.py:75(join)
     1614    0.001    0.000    0.019    0.000 artist.py:1319(is_alias)
     1343    0.001    0.000    0.002    0.000 bases.py:152(_copy_default)
     1583    0.001    0.000    0.001    0.000 visitor.py:26(get_visitor)
      167    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
     3716    0.001    0.000    0.001    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
     1333    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      618    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
2937/2261    0.001    0.000    0.010    0.000 {built-in method builtins.next}
      394    0.001    0.000    0.001    0.000 check.py:269(__init__)
        1    0.001    0.001    0.110    0.110 register_functions.py:16(register_functions)
      749    0.001    0.000    0.125    0.000 types.py:49(dtype)
      734    0.001    0.000    0.001    0.000 inspect.py:171(isgeneratorfunction)
     2879    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      691    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
     4262    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      547    0.001    0.000    0.025    0.000 _decorators.py:300(__call__)
     1246    0.001    0.000    0.001    0.000 version.py:114(_parse_version_parts)
     1688    0.001    0.000    0.001    0.000 {built-in method _imp.is_frozen}
      730    0.001    0.000    0.002    0.000 check.py:580(<dictcomp>)
     4398    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
     3609    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      358    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
      472    0.001    0.000    0.001    0.000 check.py:42(__init__)
     1155    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
      131    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
  503/323    0.001    0.000    0.003    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       48    0.001    0.000    0.001    0.000 {built-in method io.open}
     1664    0.001    0.000    0.003    0.000 re.py:170(match)
      107    0.001    0.000    0.003    0.000 {built-in method builtins.eval}
     1328    0.001    0.000    0.017    0.000 descriptors.py:563(class_default)
    52/13    0.001    0.000    0.013    0.001 parser.py:851(subparse)
   260/11    0.001    0.000    0.002    0.000 pyparsing.py:1633(_parseNoCache)
     1797    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     1260    0.001    0.000    0.001    0.000 colors.py:249(<genexpr>)
      825    0.001    0.000    0.002    0.000 base.py:160(__set__)
1788/1784    0.001    0.000    0.004    0.000 either.py:114(<genexpr>)
      752    0.001    0.000    0.117    0.000 expressions.py:112(parse)
     1688    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      329    0.001    0.000    0.001    0.000 {method 'split' of 're.Pattern' objects}
      443    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
      275    0.001    0.000    0.031    0.000 model.py:231(__new__)
      751    0.001    0.000    0.113    0.000 grammar.py:108(parse)
      292    0.001    0.000    0.008    0.000 __init__.py:2124(distributions_from_metadata)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1386(__init__)
     1536    0.001    0.000    0.002    0.000 colors.py:115(_is_nth_color)
       72    0.001    0.000    0.007    0.000 __init__.py:1525(_preprocess_data)
      244    0.001    0.000    0.002    0.000 __init__.py:72(deco)
      167    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     1516    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
       12    0.001    0.000    0.001    0.000 artist.py:1224(<listcomp>)
      734    0.001    0.000    0.001    0.000 inspect.py:179(iscoroutinefunction)
     1685    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
      146    0.001    0.000    0.005    0.000 __init__.py:2578(from_location)
      728    0.001    0.000    0.002    0.000 nested.py:28(__set__)
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
      155    0.001    0.000    0.008    0.000 dataspec.py:160(__init__)
      254    0.001    0.000    0.001    0.000 six.py:141(__init__)
      368    0.001    0.000    0.037    0.000 sre_compile.py:598(_code)
     1331    0.001    0.000    0.001    0.000 <string>:1(__new__)
      124    0.001    0.000    0.001    0.000 deprecation.py:24(_generate_deprecation_warning)
       73    0.001    0.000    0.003    0.000 compiler.py:1221(visit_Output)
      281    0.001    0.000    0.002    0.000 function_base.py:441(add_newdoc)
     6002    0.000    0.000    0.000    0.000 inspect.py:2521(default)
      368    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1397    0.000    0.000    0.005    0.000 descriptors.py:639(has_ref)
     1432    0.000    0.000    0.001    0.000 version.py:65(_compare)
  429/343    0.000    0.000    0.001    0.000 sre_compile.py:461(_get_literal_prefix)
     1436    0.000    0.000    0.000    0.000 bases.py:108(_sphinx_prop_link)
      550    0.000    0.000    0.001    0.000 named_styles.py:76(__setattr__)
      413    0.000    0.000    0.001    0.000 inspect.py:484(unwrap)
      757    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       11    0.000    0.000    0.045    0.004 artist.py:1349(pprint_setters)
